,CompanyName:,BusinessintheStateof:,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:,MEMBER_MONTHS_SMALL_GROUP,EXPECTED_REINSURANCE,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),Not-For-Profit:
288,New Era Life Insurance Company,Connecticut,17288,,,,,,,,,No
289,PacifiCare Life and Health Insurance Co,Arkansas,17337,0.0,0.0,0.0,0.0,0.0,,,,No
290,United Healthcare Life Insurance Company,Florida,17341,63489.0,0.0,7942642.06,5751062.82,0.0,"$7,942,642.06 ","$6,516,021.26 ",$-,No
291,Medical Benefits Mutual Life Insurance Co.,Michigan,17363,,,,,,,,,No
292,Companion Life Insurance Company,Georgia,17382,26505.0,465.0,,,,,,,No
293,American Income Life Insurance Co,Rhode Island,17411,,,,,,,,,No
294,Trustmark Life Insurance Company,Alabama,17421,,257.0,,0.0,0.0,,,,No
295,Globe Life and Accident Insurance Co,Vermont,17424,,,,,,,,,No
296,The Guardian Life Insurance Company of America,Arizona,17454,84.0,,,,,,,,No
297,American Family Mutual Insurance Company,Minnesota,17473,6829.0,,,,,,,,No
298,Unified Life Insurance Company,Vermont,17481,0.0,,0.0,0.0,,,,,No
299,MAMSI Life and Health Insurance Company,District of Columbia,17498,0.0,2856.0,0.0,0.0,0.0,,,,No
300,Mid-West National Life Insurance Company of Tennessee,Illinois,17526,27005.0,1.0,0.0,0.0,0.0,,,,No
301,The Guardian Life Insurance Company of America,Alabama,17540,60.0,,,,,,,,No
302,State Farm Mutual Automobile Insurance Company,Maine,17564,165.0,0.0,0.0,0.0,0.0,,,,No
303,"Anthem Insurance Companies, Inc.",Indiana,17575,1656793.0,2119317.0,63611127.94,-35299048.0,6066803.04,"$63,611,127.93 ","($35,299,047.70)","$5,862,596.41 ",No
304,American Heritage Life Insurance Company,Nebraska,17589,,,,,,,,,No
305,TransAmerica Premier Life Insurance,Michigan,17594,,,,,,,,,No
306,Companion Life Insurance Company,Oklahoma,17595,1248.0,,,,,,,,No
307,Life of America,Utah,17655,36.0,,,,,,,,No
308,Reliance Standard Life Insurance Company,Maryland,17684,,,,,,,,,No
309,Humana Insurance Company,South Carolina,17808,14566.0,109.0,2760.15,24910.64,-3229.79,"$2,760.15 ","$24,910.64 ","($3,229.79)",No
310,"Sierra Health and Life Insurance Company, Inc.",Pennsylvania,17857,0.0,0.0,0.0,0.0,0.0,,,,No
311,BEST Life and Health Insurance Company,California,17875,,,,,,,,,No
312,"Sierra Health and Life Insurance Company, Inc.",West Virginia,17876,0.0,0.0,0.0,0.0,0.0,,,,No
313,American General Life Insurance Company,Maryland,17886,12.0,,,,,,,,No
314,Reliance Standard Life Insurance Company,Louisiana,17940,,,,,,,,,No
315,AMERICAN FIDELITY ASSURANCE COMPANY,Georgia,17991,0.0,,,,,,,,No
316,Unimerica Insurance Company,Mississippi,18010,0.0,0.0,0.0,0.0,0.0,,,,No
317,Independent Health Benefits Corporation,New York,18029,37626.0,482984.0,2866729.0,6206051.0,4431711.0,"$2,847,602.18 ","$6,203,465.48 ","$4,211,250.12 ",Yes
318,Connecticut General Life Insurance Company,Missouri,18032,12.0,0.0,0.0,0.0,0.0,,,,No
319,Trustmark Insurance Company,Minnesota,18102,,,,,,,,,No
320,MOLINA HEALTHCARE OF CALIFORNIA,California,18126,71865.0,,950343.0,-9072047.0,,"$950,343.48 ","($9,072,047.23)",$-,No
321,Molina Healthcare of Utah,Utah,18167,2085.0,,96992.0,311802.0,,"$96,992.14 ","$311,802.19 ",$-,No
322,American Alternative Insurance Corporation,Georgia,18201,,1444.0,,,,,,,No
323,United Teachers Associates,Tennessee,18226,12.0,,,,,,,,No
324,Standard Life and Accident Insurance Company,California,18240,36.0,,0.0,0.0,,,,,No
325,The Prudential Insurance Company of America,Oregon,18280,,,,,,,,,No
326,United Teachers Associates,Vermont,18321,,,,,,,,,No
327,Hawaii Medical Service Association,Hawaii,18350,207688.0,1093845.0,13001803.0,6650637.0,3044739.0,"$13,001,803.35 ","$10,430,372.28 ","$5,740,424.58 ",Yes
328,American General Life Insurance Company,Virginia,18355,3426.0,,,,,,,,No
329,Pekin Life Insurance Company,Illinois,18389,114.0,39821.0,,,-52688.0,N/E,$-,"($52,688.31)",No
330,Connecticut General Life Insurance Company,Montana,18409,0.0,0.0,0.0,0.0,0.0,,,,No
331,Companion Life Insurance Company,Maryland,18473,,,,,,,,,No
332,Freedom Life Insurance Company of America,Iowa,18492,1100.0,,0.0,0.0,,,,,No
333,American Family Mutual Insurance Company,Idaho,18519,0.0,,,,,,,,No
334,"Blue Cross and Blue Shield of Kansas, Inc.",Kansas,18558,650169.0,1305258.0,25958566.0,7698173.0,1056775.0,"$25,958,565.69 ","$7,698,173.07 ","$1,056,774.58 ",Yes
335,Community Health Plan of Washington,Washington,18581,30774.0,,9099895.43,11449602.2,,"$9,099,895.43 ","$11,449,602.20 ",$-,No
336,Unimerica Insurance Company,Delaware,18582,0.0,0.0,0.0,0.0,0.0,,,,No
337,Aetna Health Inc. (a Florida corporation),Florida,18628,404615.0,883049.0,1205126.79,-525058.02,389940.41,"$1,205,126.79 ","($525,058.02)","$389,940.41 ",No
338,New York Life Insurance Company,New Hampshire,18656,0.0,,,,,,,,No
339,American States Insurance Company,Minnesota,18696,,,,,,,,,No
340,UnitedHealthcare Insurance Company,Washington,18699,773.0,262176.0,0.0,-220955.67,-4469068.93,N/E,$-,"($4,690,024.61)",No
341,Golden Rule Insurance Company,Nebraska,18781,189336.0,0.0,0.0,0.0,0.0,,,,No
342,Trustmark Insurance Company,Delaware,18791,,,,,,,,,No
343,Connecticut General Life Insurance Company,Maine,18804,0.0,0.0,0.0,0.0,0.0,,,,No
344,Transamerica Life Insurance Company,Colorado,18808,,,,,,,,,No
345,Transamerica Life Insurance Company,California,18846,,,,,,,,,No
346,American General Life Insurance Company,Delaware,18878,0.0,,,,,,,,No
347,American Alternative Insurance Corporation,Indiana,18895,,10076.0,,,,,,,No
348,"Coventry Healthcare of Iowa, Inc",Iowa,18973,363736.0,73989.0,13395052.4,-9236606.28,-142786.85,"$13,395,052.40 ","($9,236,606.28)","($142,786.86)",No
349,National Foundation Life Insurance Company,Kansas,19013,1491.0,,0.0,0.0,,,,,No
350,Reserve National Insurance Company,Ohio,19018,,,,,,,,,No
351,Federated Mutual Insurance Company,Texas,19046,0.0,42925.0,0.0,0.0,-727599.82,N/E,$-,"($727,599.82)",No
352,Time Insurance Company,Pennsylvania,19068,98176.0,10071.0,4662824.0,1461480.0,-220046.0,"$4,662,824.37 ","$1,461,479.59 ","($220,045.83)",No
353,Trustmark Life Insurance Company,Maryland,19089,,0.0,,0.0,0.0,,,,No
354,Golden Rule Insurance Company,Massachusetts,19101,48.0,0.0,0.0,0.0,0.0,,,,No
355,All Savers Insurance Company,Minnesota,19112,0.0,0.0,0.0,0.0,0.0,,,,No
356,United American Insurance Co,Alaska,19136,,,,,,,,,No
357,Trustmark Insurance Company,Nevada,19166,,,,,,,,,No
358,BCS Insurance Company,Ohio,19190,,,,,,,,,No
359,KPS Health Plans,Washington,19194,0.0,191.0,0.0,0.0,0.0,,,,No
360,American Income Life Insurance Co,Nevada,19250,,,,,,,,,No
361,Trustmark Life Insurance Company,Illinois,19253,,3562.0,,0.0,0.0,,,,No
362,The Prudential Insurance Company of America,New Jersey,19292,,,,,,,,,No
363,Aetna Health Inc. (a Pennsylvania corporation),Nevada,19298,61.0,19627.0,0.0,0.0,8660.02,N/E,$-,"$8,649.73 ",No
364,The United States Life Ins. Co. in the City of New York,Kentucky,19306,2816.0,,,,,,,,No
365,Globe Life and Accident Insurance Co,New Hampshire,19341,,,,,,,,,No
366,UnitedHealthcare Insurance Company of New York,Florida,19391,0.0,0.0,0.0,0.0,0.0,,,,No
367,State Farm Mutual Automobile Insurance Company,Texas,19455,4553.0,0.0,0.0,0.0,0.0,,,,No
368,Cigna Health and Life Insurance Company,Minnesota,19482,0.0,0.0,0.0,0.0,0.0,,,,No
369,American Progressive Life & Health Insurance Company of New York,Connecticut,19489,36.0,,,,,,,,No
370,New York Life Insurance Company,Mississippi,19492,0.0,,,,,,,,No
371,Time Insurance Company,Kentucky,19503,44888.0,7273.0,2528455.0,1786737.0,196961.0,"$2,528,454.66 ","$1,786,736.84 ","$196,961.32 ",No
372,Liberty National Life Insurance Co,Arizona,19509,,,,,,,,,No
373,Golden Rule Insurance Company,New Hampshire,19517,0.0,0.0,0.0,0.0,0.0,,,,No
374,Time Insurance Company,Nebraska,19524,80452.0,33556.0,2775559.0,654497.0,128515.0,"$2,775,559.37 ","$654,497.47 ","$128,514.67 ",No
375,Mid-West National Life Insurance Company of Tennessee,North Dakota,19525,0.0,0.0,0.0,0.0,0.0,,,,No
376,Unified Life Insurance Company,Texas,19547,48.0,,0.0,0.0,,,,,No
377,"HMO Louisiana, Inc.",Louisiana,19636,337975.0,562886.0,11532268.0,-12245987.0,-674764.0,"$11,532,268.15 ","($12,245,987.34)","($674,763.59)",No
378,PacifiCare Life and Health Insurance Co,Idaho,19652,0.0,0.0,0.0,0.0,0.0,,,,No
379,The United States Life Ins. Co. in the City of New York,Hawaii,19706,4144.0,,,,,,,,No
380,Molina Healthcare of New Mexico,New Mexico,19722,18034.0,,325294.0,685620.0,,"$325,293.64 ","$685,619.88 ",$-,No
381,"Humana Insurance of Puerto Rico, Inc.",Puerto Rico,19728,301.0,110013.0,,,,,,,No
382,Kanawha Insurance Company ,South Dakota,19841,,,,,,,,,No
383,Mutual of Omaha Insurance Company,Connecticut,19846,,,,,,,,,No
384,Coventry Health & Life Insurance Company,Arkansas,19871,229.0,3651.0,0.0,-4414.53,-44702.7,,,,No
385,"AvMed, Inc.",Florida,19898,114237.0,380802.0,1841558.0,1072841.34,-3118661.5,"$1,841,557.61 ","$1,215,541.75 ","($3,118,661.50)",Yes
386,AMERICAN FIDELITY ASSURANCE COMPANY,North Dakota,19903,,,,,,,,,No
387,United American Insurance Co,Iowa,19905,,,,,,,,,No
388,Freedom Life Insurance Company of America,Louisiana,19913,208.0,,0.0,72093.0,,$0.00 ,"$72,093.27 ",$-,No
389,Golden Rule Insurance Company,Mississippi,19951,165303.0,0.0,0.0,0.0,0.0,,,,No
390,Humana Insurance Company,Kansas,19968,65146.0,183283.0,385045.35,97760.97,-291686.41,"$385,045.35 ","$97,760.97 ","($291,686.41)",No
391,Thrivent Financial for Lutherans,Alabama,20014,,,,,,,,,No
392,Trustmark Life Insurance Company,Pennsylvania,20037,,189.0,,0.0,0.0,,,,No
393,Reserve National Insurance Company,Iowa,20063,,,,,,,,,No
394,Health Net Life Insurance Company,Wisconsin,20072,,,,,,,,,No
395,Unimerica Insurance Company,Kentucky,20073,0.0,0.0,0.0,0.0,0.0,,,,No
396,AMERICAN FIDELITY ASSURANCE COMPANY,Missouri,20081,85.0,,,,,,,,No
397,Standard Life and Accident Insurance Company,Idaho,20088,12.0,,0.0,0.0,,,,,No
398,HealthSpan Integrated Care,Ohio,20126,90538.0,122878.0,2879589.0,-9566204.0,-3621912.0,"$2,879,588.73 ","($9,566,203.90)","($3,621,911.77)",Yes
399,Companion Life Insurance Company,Arizona,20128,18051.0,,,,,,,,No
400,"Health Alliance Medical Plans, Inc.",Illinois,20129,200255.0,251994.0,4530888.0,2597374.0,-998964.0,"$4,523,529.04 ","$2,597,374.35 ","($998,963.73)",No
401,HealthPartners Insurance Company,Wisconsin,20173,82.0,65686.0,,,,N/E,$-,"$31,748.61 ",No
402,Philadelphia American Life Insurance Company,South Carolina,20212,40.0,,,,,,,,No
403,The Prudential Insurance Company of America,North Carolina,20248,,,,,,,,,No
404,Thrivent Financial for Lutherans,West Virginia,20290,,,,,,,,,No
405,Mutual of Omaha Insurance Company,North Carolina,20294,,,,,,,,,No
406,United Teachers Associates,Arkansas,20338,0.0,,,,,,,,No
407,Unified Life Insurance Company,Connecticut,20347,0.0,,0.0,0.0,,,,,No
408,McLaren Health Plan,Michigan,20393,80642.0,123749.0,1865110.37,-275687.0,480378.0,"$1,865,110.37 ","($275,686.71)","$480,378.30 ",Yes
409,Cigna Health and Life Insurance Company,Hawaii,20427,1.0,0.0,0.0,0.0,0.0,,,,No
410,American Family Mutual Insurance Company,Kansas,20467,739.0,,,,,,,,No
411,"Colorado Health Insurance Cooperative, Inc.",Colorado,20472,144312.0,1277.0,19571826.0,-4393875.95,-97502.97,"$19,571,825.50 ","($4,393,875.95)","($97,502.97)",Yes
412,American Republic Insurance Company,Kansas,20483,,,,,,,,,No
413,National Foundation Life Insurance Company,Wisconsin,20495,60.0,,0.0,0.0,,,,,No
414,The United States Life Ins. Co. in the City of New York,Iowa,20498,1843.0,,,,,,,,No
415,Optima Health Plan,Virginia,20507,199052.0,546331.0,14833381.0,19660297.0,1872934.0,"$14,833,380.88 ","$19,660,297.48 ","$1,872,934.03 ",Yes
416,Thrivent Financial for Lutherans,Mississippi,20515,,,,,,,,,No
417,Aetna Health of California Inc.,California,20523,4418.0,919142.0,0.0,0.0,-23451290.19,N/E,$-,"($23,489,767.02)",No
418,Time Insurance Company,Georgia,20544,165411.0,31215.0,8301135.0,4104599.0,462397.0,"$8,301,134.79 ","$4,104,599.26 ","$462,396.82 ",No
419,Companion Life Insurance Company,Illinois,20545,20981.0,,,,,,,,No
420,Standard Security Life Insurance Company of New York,Alabama,20563,,,,,,,,,No
421,Union Security Insurance Company,District of Columbia,20604,0.0,0.0,0.0,0.0,0.0,,,,No
422,Philadelphia American Life Insurance Company,Maine,20630,,,,,,,,,No
423,PHP Insurance Company,Michigan,20662,,25176.0,,,-127949.0,N/E,$-,"($127,949.20)",No
424,American General Life Insurance Company,Tennessee,20680,7026.0,,,,,,,,No
425,United Teachers Associates,Ohio,20750,12.0,,,,,,,,No
426,Nationwide Life Insurance Company,Arkansas,20826,12.0,,,,,,,,No
427,Shelter Life Insurance Company,Missouri,20841,228.0,312.0,0.0,0.0,0.0,,,,No
428,"ADVANTAGE Health Solutions, Inc",Indiana,20855,,81840.0,,,,,,,No
429,Humana Insurance Company,Nevada,20895,30780.0,51544.0,2142999.48,1873080.72,-358637.74,"$2,142,999.48 ","$1,873,080.72 ","($358,637.74)",No
430,The Chesapeake Life Insurance Company,Wisconsin,20903,786.0,0.0,0.0,0.0,0.0,,,,No
431,Union Security Insurance Company,Ohio,20920,0.0,145.0,0.0,0.0,0.0,,,,No
432,HIP Insurance Company of New York,New York,20984,177.0,0.0,,,,,,,Yes
433,Kaiser Foundation Health Plan of Colorado,Colorado,21032,819397.0,664202.0,26956985.0,-33664831.0,-3582183.0,"$26,956,984.91 ","($33,664,830.89)","($3,582,183.17)",Yes
434,"UnitedHealthcare of the Mid-Atlantic, Inc.",District of Columbia,21066,0.0,0.0,0.0,0.0,0.0,,,,No
435,Nationwide Life Insurance Company,North Carolina,21072,12.0,,,,,,,,No
436,The Prudential Insurance Company of America,Alaska,21076,,,,,,,,,No
437,Philadelphia American Life Insurance Company,Kentucky,21100,,,,,,,,,No
438,The United States Life Ins. Co. in the City of New York,North Dakota,21105,633.0,,,,,,,,No
439,Standard Security Life Insurance Company of New York,Pennsylvania,21175,218.0,,,,,,,,No
440,Union Fidelity Life Insurance Company,Mississippi,21208,,,,,,,,,No
441,"Humana Insurance Company of Kentucky, Inc. ",Kentucky,21220,23.0,12.0,,,,,,,No
442,United American Insurance Co,Connecticut,21306,,,,,,,,,No
443,American Republic Insurance Company,Illinois,21334,61.0,,,,,,,,No
444,Wilton Reassurance Company,Pennsylvania,21336,1354.0,,,,,,,,No
445,National Foundation Life Insurance Company,Utah,21400,1300.0,,0.0,0.0,,,,,No
446,Liberty Mutual Insurance Company,Puerto Rico,21403,,,,,,,,,No
447,Unified Life Insurance Company,New Mexico,21419,0.0,,0.0,0.0,,,,,No
448,Companion Life Insurance Company,Florida,21424,47996.0,,,,,,,,No
449,PacifiCare Life and Health Insurance Co,Hawaii,21453,0.0,0.0,0.0,0.0,0.0,,,,No
450,New York Life Insurance Company,Kentucky,21495,0.0,,,,,,,,No
451,Trustmark Insurance Company,Arizona,21496,,,,,,,,,No
452,Standard Security Life Insurance Company of New York,Kansas,21502,356.0,674.0,,,,,,,No
453,Wilton Reassurance Company,Washington,21523,624.0,,,,,,,,No
454,Kanawha Insurance Company ,Nebraska,21537,87.0,,,,,,,,No
455,"Sierra Health and Life Insurance Company, Inc.",Utah,21548,0.0,0.0,0.0,0.0,0.0,,,,No
456,American Income Life Insurance Co,Vermont,21555,,,,,,,,,No
457,Standard Life and Accident Insurance Company,Virginia,21560,209.0,,0.0,0.0,,,,,No
458,American General Life Insurance Company,Louisiana,21566,540.0,,,,,,,,No
459,Unimerica Insurance Company,Virginia,21621,0.0,0.0,0.0,0.0,0.0,,,,No
460,American Republic Insurance Company,Nebraska,21637,,,,,,,,,No
461,Celtic Insurance Company,Florida,21663,138.0,,14820.41,126526.23,,"$14,820.41 ","$143,355.70 ",$-,No
462,The Prudential Insurance Company of America,New Hampshire,21684,,,,,,,,,No
463,New Era Life Insurance Company of the MidWest,Tennessee,21723,36.0,,,,,,,,No
464,Standard Security Life Insurance Company of New York,Virginia,21731,0.0,210.0,,,,,,,No
465,Standard Security Life Insurance Company of New York,Mississippi,21807,0.0,,,,,,,,No
466,Golden Rule Insurance Company,Missouri,21832,519078.0,0.0,0.0,0.0,0.0,,,,No
467,Union Security Insurance Company,Louisiana,21857,0.0,0.0,0.0,0.0,0.0,,,,No
468,State Farm Mutual Automobile Insurance Company,Minnesota,21891,8714.0,0.0,0.0,0.0,0.0,,,,No
469,American Heritage Life Insurance Company,Illinois,21909,,,,,,,,,No
470,Wilton Reassurance Company,Massachusetts,21912,72.0,,,,,,,,No
471,Liberty National Life Insurance Co,Arkansas,22011,,,,,,,,,No
472,Regence BlueCross BlueShield of Utah,Utah,22013,405320.0,512345.0,4866765.0,524048.0,1370534.0,"$4,866,764.79 ","$524,047.97 ","$1,299,608.61 ",Yes
473,"Sierra Health and Life Insurance Company, Inc.",Oklahoma,22031,0.0,0.0,0.0,0.0,0.0,,,,No
474,PacifiCare Life and Health Insurance Co,Massachusetts,22102,0.0,0.0,0.0,0.0,0.0,,,,No
475,Liberty Mutual Insurance Company,Ohio,22110,,,,,,,,,No
476,AMERICAN FIDELITY ASSURANCE COMPANY,Hawaii,22131,,,,,,,,,No
477,Unimerica Insurance Company,Louisiana,22190,0.0,0.0,0.0,0.0,0.0,,,,No
478,The United States Life Ins. Co. in the City of New York,South Dakota,22198,881.0,,,,,,,,No
479,Liberty Mutual Insurance Company,Iowa,22201,,,,,,,,,No
480,United Teachers Associates,Michigan,22213,12.0,,,,,,,,No
481,Golden Rule Insurance Company,Wyoming,22215,26829.0,0.0,0.0,0.0,0.0,,,,No
482,American National Life Insurance Company of Texas,Hawaii,22229,952.0,,0.0,0.0,,,,,No
483,United Teachers Associates,Massachusetts,22251,12.0,,,,,,,,No
484,TransAmerica Premier Life Insurance,Indiana,22273,,,,,,,,,No
485,Independence American Insurance Company,Wyoming,22320,108.0,,,,,,,,No
486,"MD-Individual Practice Association, Inc",Virginia,22325,0.0,0.0,0.0,0.0,0.0,,,,No
487,Transamerica Life Insurance Company,Oklahoma,22356,,,,,,,,,No
488,Aetna Life Insurance Company,South Carolina,22369,21234.0,552.0,0.0,0.0,-18182.04,N/E,$-,"($18,182.04)",No
489,Unified Life Insurance Company,Virginia,22371,36.0,,0.0,0.0,,,,,No
490,Coventry Health & Life Insurance Company,Louisiana,22381,0.0,2852.0,0.0,0.0,-37335.04,N/E,$-,"($37,335.05)",No
491,The United States Life Ins. Co. in the City of New York,South Carolina,22442,9771.0,,,,,,,,No
492,Geisinger Health Plan,Pennsylvania,22444,219034.0,138239.0,14765963.46,1759834.57,-6627591.76,"$14,765,963.46 ","$1,759,834.57 ","($6,627,591.76)",Yes
493,Mid-West National Life Insurance Company of Tennessee,Louisiana,22457,12944.0,0.0,0.0,0.0,0.0,,,,No
494,American Republic Insurance Company,Maine,22484,,,,,,,,,No
495,US Health and Life Insurance Company,Wisconsin,22554,,28026.0,,,,N/E,$-,"($5,690.86)",No
496,Reliance Standard Life Insurance Company,Idaho,22600,,,,,,,,,No
497,Wilton Reassurance Company,Nebraska,22615,324.0,,,,,,,,No
498,Freedom Life Insurance Company of America,Tennessee,22638,4575.0,,0.0,0.0,,,,,No
499,American Heritage Life Insurance Company,Arkansas,22690,,,,,,,,,No
500,Globe Life and Accident Insurance Co,Arkansas,22703,,,,,,,,,No
501,National Foundation Life Insurance Company,Minnesota,22718,48.0,,0.0,0.0,,,,,No
502,American National Life Insurance Company of Texas,Arizona,22722,1782.0,,0.0,0.0,,,,,No
503,UnitedHealthcare Insurance Company of the River Valley,Arkansas,22732,188.0,88397.0,0.0,0.0,-590630.26,N/E,$-,"($590,630.26)",No
504,All Savers Insurance Company,Connecticut,22742,0.0,0.0,0.0,0.0,0.0,,,,No
505,Mid-West National Life Insurance Company of Tennessee,Arkansas,22759,8848.0,0.0,0.0,0.0,0.0,,,,No
506,American Family Mutual Insurance Company,Illinois,22796,1940.0,,,,,,,,No
507,United American Insurance Co,Arkansas,22830,,,,,,,,,No
508,Wilton Reassurance Company,Missouri,22835,468.0,,,,,,,,No
509,Independence American Insurance Company,Tennessee,22950,0.0,,,,,,,,No
510,Thrivent Financial for Lutherans,Missouri,22974,,,,,,,,,No
511,"Madison National Life Insurance Company, Inc.",Arizona,23029,14965.0,1784.0,,,-4301.14,N/E,$-,"($4,301.51)",No
512,Transamerica Life Insurance Company,Rhode Island,23044,,,,,,,,,No
513,Unified Life Insurance Company,Oregon,23045,48.0,,0.0,0.0,,,,,No
514,State Farm Mutual Automobile Insurance Company,Tennessee,23052,2941.0,0.0,0.0,0.0,0.0,,,,No
515,Companion Life Insurance Company,New Hampshire,23090,1575.0,,,,,,,,No
516,American National Insurance Company,Indiana,23247,70.0,,0.0,0.0,,,,,No
517,"Humana Health Plan, Inc.",Arizona,23307,32208.0,137933.0,4117754.92,-351373.9,-750038.97,"$4,117,754.92 ","($351,373.90)","($750,038.97)",No
518,Standard Life and Accident Insurance Company,Florida,23324,60.0,,0.0,0.0,,,,,No
519,The United States Life Ins. Co. in the City of New York,Mississippi,23359,3935.0,,,,,,,,No
520,Kaiser Foundation Health Plan of the Northwest,Washington,23371,61981.0,105858.0,2684600.0,2144484.0,294988.0,"$2,684,599.56 ","$2,144,483.77 ","$294,987.75 ",Yes
521,Unimerica Insurance Company,Indiana,23407,0.0,0.0,0.0,0.0,0.0,,,,No
522,Washington National Insurance Company,Maine,23419,,,,,,,,,No
523,Guarantee Trust Life Insurance Co.,Texas,23430,61.0,,,,,,,,No
