Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsuance Per Member Month Individual,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
"CareFirst BlueChoice, Inc.",District of Columbia,86052,110036,440289,3019983.96,-1630614.04,-10757047.39,"$3,021,555.65 ","($1,630,614.05)","($10,757,047.29)",No,27.4454175,27.45970092,-14.81891417,-14.81891426,-24.43178773,-24.43178751,0.014283416,-9.08793E-08,2.27124E-07
"Matthew Thornton Health Plan, Inc.",New Hampshire,96751,359424,436267,8346793.28,156537.94,1480182.4,"$8,351,137.21 ","$156,537.94 ","$1,480,182.40 ",No,23.2226932,23.23477901,0.43552445,0.43552445,3.392836038,3.392836038,0.01208581,0,0
"Humana Health Benefit Plan of Louisiana, Inc.",Louisiana,44965,248033,434330,6596325.19,-2546110.54,-4759020.22,"$6,599,758.13 ","($2,526,804.46)","($4,759,020.22)",No,26.59454665,26.60838731,-10.26520882,-10.18737208,-10.9571529,-10.9571529,0.013840658,0.077836739,0
"AvMed, Inc.",Florida,19898,168528,434149,3802606,-148477,-3997943,"$3,804,584.76 ","($148,477.46)","($3,997,943.28)",Yes,22.56364521,22.57538664,-0.881022738,-0.881025468,-9.208688722,-9.208689367,0.011741432,-2.72952E-06,-6.4494E-07
Aetna Life Insurance Company,Connecticut,39159,93291,433610,4541714.71,-621770.44,-610884.79,"$4,544,078.36 ","($621,770.44)","($610,884.79)",No,48.68331039,48.70864671,-6.664849128,-6.664849128,-1.408834644,-1.408834644,0.025336313,0,0
Blue Cross and Blue Shield of Vermont,Vermont,13627,335682,430074,19113905,12275443,-11694155,,,,Yes,56.94051215,0,36.56866618,0,-27.19102992,0,-56.94051215,-36.56866618,27.19102992
Regence BlueCross BlueShield of Utah,Utah,22013,234400,429542,4737947,1591756,-1352263,"$4,740,413.21 ","$1,629,776.02 ","($1,352,263.41)",Yes,20.21308447,20.22360584,6.790767918,6.952969369,-3.148150821,-3.148151776,0.010521374,0.162201451,-9.54505E-07
Aetna Life Insurance Company,Arizona,84251,127740,421935,1613468.24,-3663100.18,-4599781.33,"$1,614,307.95 ","($3,663,100.18)","($4,599,781.33)",No,12.63087709,12.63745068,-28.67621873,-28.67621873,-10.90163492,-10.90163492,0.006573587,0,0
"Coventry Health Care of the Carolinas, Inc.",North Carolina,56346,1258611,418066,38727295.86,-47680707.29,-9400776.79,"$38,747,450.73 ","($47,680,707.29)","($9,400,776.79)",No,30.76986921,30.78588279,-37.88359333,-37.88359333,-22.48634615,-22.48634615,0.016013582,0,0
Independent Health Benefits Corporation,New York,18029,45191,414772,2253463,6710761,4587941,"$2,216,885.52 ","$7,655,906.80 ","$7,032,740.32 ",Yes,49.86530504,49.05590759,148.4977318,169.4122015,11.0613566,16.95567763,-0.809397446,20.9144697,5.894321025
UnitedHealthcare Insurance Company,Michigan,63631,2949,409266,0,-45546.65,-1108766.27,N/E,$-,"($1,154,312.92)",No,0,#VALUE!,-15.44477789,#VALUE!,-2.709158029,-2.820446653,#VALUE!,#VALUE!,-0.111288624
UHC of California,California,49116,3275,403312,0,920132.45,-2210223.62,N/E,$-,"($1,290,603.41)",No,0,#VALUE!,280.9564733,#VALUE!,-5.480183134,-3.200012422,#VALUE!,#VALUE!,2.280170712
UnitedHealthcare Insurance Company,Ohio,56726,4768,402846,0,10083.12,1765119.28,N/E,$-,"$1,775,202.40 ",No,0,#VALUE!,2.114748322,#VALUE!,4.381622953,4.406652666,#VALUE!,#VALUE!,0.025029714
Humana Insurance Company,Illinois,68303,86198,397474,3776222.99,3845784.08,1343082.51,"$3,778,188.26 ","$4,859,821.84 ","$1,632,766.92 ",No,43.80870774,43.83150723,44.61569967,56.37975173,3.379044944,4.107858426,0.022799485,11.76405207,0.728813482
Optima Health Plan,Virginia,20507,412840,389074,17767827.9,42170520.55,6375531.18,"$17,769,218.56 ","$42,170,520.55 ","$6,375,531.18 ",Yes,43.0380484,43.04141692,102.1473708,102.1473708,16.3864231,16.3864231,0.00336852,0,0
"Summa Insurance Company, Inc.",Ohio,52664,53021,375458,2386505,35682,2820323,"$2,387,747.27 ","$35,681.99 ","$2,820,322.62 ",No,45.01056185,45.03399163,0.672978631,0.672978443,7.51168706,7.511686047,0.023429773,-1.88605E-07,-1.0121E-06
"Health Care Service Corporation, a Mutual Legal Reserve Company",Montana,30751,555866,374972,29261207.93,-4708322.25,-89903.73,"$29,263,271.43 ","($4,708,322.25)","($89,903.73)",Yes,52.64075862,52.64447084,-8.470246876,-8.470246876,-0.239761182,-0.239761182,0.003712226,0,0
Aetna Life Insurance Company,Georgia,83978,248398,365173,6805223.19,-14644018.01,3355287.06,"$6,808,764.85 ","($14,644,018.02)","$3,485,222.28 ",No,27.39644921,27.41070721,-58.9538483,-58.95384834,9.188212327,9.544030583,0.014258005,-4.0258E-08,0.355818256
Blue Cross and Blue Shield of Nebraska,Nebraska,29678,847755,361056,32356285,8208131,1086662.44,"$32,361,756.58 ","$13,541,049.63 ","$3,977,257.76 ",Yes,38.16702349,38.17347769,9.682197097,15.9728337,3.009678388,11.01562572,0.0064542,6.290636599,8.005947332
Coventry Health & Life Insurance Company,Missouri,44240,1752758,360569,59835189.72,-22528151.66,-239352.1,"$31,011,926.25 ","($20,980,901.39)","($233,857.65)",No,34.13773591,17.69321621,-12.85297323,-11.97022144,-0.663817744,-0.648579467,-16.44451971,0.882751795,0.015238276
"Wellmark of South Dakota, Inc.",South Dakota,50305,572020,353553,8861709,-1043395,1566499,"$8,866,320.54 ","($1,043,395.44)","$1,566,498.82 ",No,15.49195657,15.50001843,-1.824053355,-1.824054124,4.430733157,4.430732648,0.008061851,-7.69204E-07,-5.09117E-07
Western Health Advantage,California,93689,82544,352835,5933937.206,-1713529.97,3553914.02,"$6,089,256.83 ","($1,713,529.97)","$3,553,914.02 ",Yes,71.88817123,73.76982979,-20.75898878,-20.75898878,10.07245319,10.07245319,1.881658558,0,0
BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,Missouri,34762,659275,349948,22853856.76,20705929.36,-325653.6,"$22,865,750.61 ","$20,705,929.36 ","($325,653.60)",Yes,34.66513482,34.68317562,31.40712049,31.40712049,-0.930577114,-0.930577114,0.018040802,0,0
Health Net Life Insurance Company,Arizona,51485,408507,346823,46191354.96,26294064.75,7584973.03,"$46,215,394.37 ","$26,294,064.75 ","$7,584,973.03 ",No,113.0735947,113.1324417,64.3662526,64.3662526,21.86986743,21.86986743,0.058846997,0,0
Humana Insurance Company,Tennessee,82120,296844,343106,8497394.58,618404.6,-2645066.63,"$8,501,816.89 ","$618,404.60 ","($2,645,066.63)",No,28.62579193,28.64068969,2.08326461,2.08326461,-7.70918209,-7.70918209,0.014897758,0,0
UnitedHealthcare Insurance Company,Georgia,13535,270,341405,0,32960.57,4133416.45,N/E,$-,"$4,168,453.84 ",No,0,#VALUE!,122.0761852,#VALUE!,12.10707649,12.20970355,#VALUE!,#VALUE!,0.102627056
Providence Health Plan,Oregon,56707,332567,339014,9856173,-4161992,3092137,"$9,861,302.28 ","($4,161,991.69)","$3,092,137.34 ",Yes,29.63665367,29.65207696,-12.5147474,-12.51474647,9.120971405,9.120972408,0.015423298,9.32143E-07,1.00291E-06
"Humana Health Plan of Ohio, Inc.",Ohio,66083,113702,337779,5152813.04,-1928407.65,-2483141.65,"$5,155,494.73 ","($1,928,407.65)","($2,483,141.65)",No,45.31857874,45.34216399,-16.96019111,-16.96019111,-7.3513796,-7.3513796,0.023585249,0,0
UnitedHealthcare Insurance Company,Virginia,25978,2701,336520,0,32841.02,-7611750.64,N/E,$-,"($7,578,909.62)",No,0,#VALUE!,12.15883747,#VALUE!,-22.61901414,-22.52142405,#VALUE!,#VALUE!,0.097590099
"Coventry Health Care of Virginia, Inc.",Virginia,99663,507146,329571,14299851.95,1027646.58,-9528358.12,"$14,307,294.04 ","$1,027,646.58 ","($9,528,358.12)",No,28.19671643,28.21139088,2.026332811,2.026332811,-28.9113973,-28.9113973,0.014674453,0,0
Kaiser Foundation Health Plan of the Northwest,Oregon,71287,254073,327712,6778143,13259755,2707326,"$6,778,961.76 ","$13,259,754.64 ","$2,707,325.99 ",Yes,26.67793508,26.68115762,52.18876071,52.18875929,8.261296504,8.261296474,0.003222538,-1.41692E-06,-3.05146E-08
"Kaiser Foundation Health Plan, Inc.",Hawaii,60612,226746,325505,5417862,-15467101,-6719908,"$5,420,682.06 ","($15,467,100.50)","($6,719,908.37)",Yes,23.89396946,23.90640655,-68.21333563,-68.21333342,-20.64456153,-20.64456266,0.012437088,2.20511E-06,-1.1367E-06
UnitedHealthcare Insurance Company,Nebraska,73102,1806,313101,0,-36788.3,4091383.22,N/E,$-,"$4,054,594.92 ",No,0,#VALUE!,-20.3700443,#VALUE!,13.06729528,12.94979869,#VALUE!,#VALUE!,-0.117496591
AultCare Insurance Company,Ohio,28162,94212,301024,2317323.34,-246739.17,-514739,"$2,358,684.92 ","($246,739.17)","($514,739.16)",No,24.59690209,25.03592876,-2.618978156,-2.618978156,-1.709960003,-1.709960535,0.439026663,0,-5.31519E-07
Fallon Community Health Plan,Massachusetts,88806,83136,297977,2170876.96,-548538.32,-2168339.57,"$2,396,568.39 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes,26.11235758,28.82708321,-6.598084103,#VALUE!,-7.276868919,#VALUE!,2.71472563,#VALUE!,#VALUE!
UnitedHealthcare Insurance Company,Utah,97462,777,296556,0,0,463611.69,N/E,$-,"$463,611.69 ",No,0,#VALUE!,0,#VALUE!,1.563319204,1.563319204,#VALUE!,#VALUE!,0
Unity Health Plans Insurance Corporation,Wisconsin,37833,194647,294566,7178809,5592708,832440,"$7,185,046.24 ","$5,592,708.14 ","$832,440.01 ",No,36.8811695,36.91321336,28.73256716,28.73256788,2.825988064,2.825988098,0.032043854,7.19251E-07,3.39482E-08
Humana Insurance Company,Texas,63141,960435,291529,22949252.24,16542107.09,-1192747.03,"$22,961,195.74 ","$16,542,107.09 ","($1,192,747.03)",No,23.89464382,23.90707933,17.22355713,17.22355713,-4.091349506,-4.091349506,0.012435511,0,0
Humana Insurance Company,Wisconsin,91604,56804,290896,1894133.6,596881.13,1292326.01,"$1,895,119.37 ","$596,881.13 ","$1,292,326.01 ",No,33.34507429,33.36242817,10.50773062,10.50773062,4.442570575,4.442570575,0.017353884,0,0
Regence BlueCross BlueShield of Oregon,Oregon,77969,281509,290080,5231310,5012243,5582808,"$5,234,032.69 ","$5,024,567.08 ","$5,570,483.58 ",Yes,18.58310036,18.59277213,17.8049121,17.84869073,19.2457529,19.20326662,0.009671769,0.043778636,-0.04248628
PacificSource Health Plans,Oregon,10091,94382,289647,8478959.06,6385295.65,-263011.36,"$8,483,371.78 ","$6,385,295.65 ","($263,011.36)",Yes,89.83661143,89.88336526,67.65374383,67.65374383,-0.908041029,-0.908041029,0.04675383,0,0
Highmark Inc.,Pennsylvania,33709,2659756,286085,106751487,-46784130,-7096865,"$106,807,043.50 ","($46,784,130.23)","($7,096,865.07)",Yes,40.1358196,40.15670742,-17.58963228,-17.58963237,-24.80684062,-24.80684087,0.020887818,-8.64741E-08,-2.44683E-07
University Health Alliance,Hawaii,95366,,282975,,,-778729,N/E,$-,"($778,728.87)",Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-2.751935683,-2.751935224,#VALUE!,#VALUE!,4.59405E-07
"Geisinger Quality Options, Inc.",Pennsylvania,75729,96868,280427,1545945.08,1142253.34,-1613339.93,"$1,529,545.49 ","$1,142,253.34 ","($1,613,339.93)",No,15.95929595,15.78999763,11.79185428,11.79185428,-5.75315476,-5.75315476,-0.169298323,0,0
Aetna Health of Utah Inc.,Utah,38927,131934,275220,2270806.33,-3519378.65,-991146.89,"$2,271,988.13 ","($3,519,378.66)","($991,146.89)",No,17.2116841,17.22064161,-26.67529712,-26.67529719,-3.601289478,-3.601289478,0.008957509,-7.57955E-08,0
"Regence BlueShield of Idaho, Inc.",Idaho,44648,126390,272370,643504,1002954,-831184,"$643,839.26 ","$1,002,953.94 ","($831,183.51)",Yes,5.09141546,5.094068043,7.935390458,7.935389983,-3.051672357,-3.051670558,0.002652583,-4.74721E-07,1.79902E-06
"Physicians Health Plan of Northern Indiana, Inc.",Indiana,50816,111408,267643,7076370,-7085739,2994922,"$7,080,052.99 ","($7,085,738.88)","$2,912,178.01 ",Yes,63.51761094,63.55066952,-63.60170724,-63.60170616,11.18998816,10.8808301,0.033058577,1.07712E-06,-0.309158058
Highmark BCBSD Inc.,Delaware,33199,380335,258931,20873452,2779949,2329735,,,,Yes,54.88175424,0,7.309211616,0,8.997512851,0,-54.88175424,-7.309211616,-8.997512851
"Harvard Pilgrim Health Care of New England, Inc.",New Hampshire,59025,99053,258618,2618360,-1229943,-843133,"$2,619,722.76 ","($1,229,943.19)","($843,133.48)",Yes,26.43392931,26.4476872,-12.41701917,-12.41702109,-3.260148172,-3.260150028,0.013757887,-1.91817E-06,-1.85602E-06
"Dean Health Plan, Inc",Wisconsin,88245,49660,258093,,,,,,,No,0,0,0,0,0,0,0,0,0
"Health Net Health Plan of Oregon, Inc",Oregon,10940,19103,257570,1854766,3408187,45711,"$1,855,731.14 ","$3,408,186.75 ","$45,710.69 ",No,97.09291734,97.1434403,178.4110873,178.4110742,0.177470202,0.177468999,0.050522955,-1.30869E-05,-1.20356E-06
"Wellmark Health Plan of Iowa, Inc.",Iowa,25896,121898,253629,1963170,-4391486,-1170300,"$1,964,191.81 ","($4,391,485.66)","($1,170,299.82)",No,16.10502223,16.11340473,-36.02590691,-36.02590412,-4.614219983,-4.614219273,0.0083825,2.78922E-06,7.09698E-07
UnitedHealthcare Insurance Company of the River Valley,Ohio,33232,608,252356,0,0,-1790106.79,N/E,$-,"($1,790,106.79)",No,0,#VALUE!,0,#VALUE!,-7.093577288,-7.093577288,#VALUE!,#VALUE!,0
Scott and White Health Plan,Texas,40788,254595,251093,7001993.36,-13412865.64,-4512866.63,"$6,991,418.55 ","($13,412,865.64)","($4,512,866.63)",Yes,27.5024779,27.46094208,-52.68314633,-52.68314633,-17.97288905,-17.97288905,-0.041535812,0,0
"Health Care Service Corporation, a Mutual Legal Reserve Company",New Mexico,75605,402278,245781,25468167,14139955.41,3423752.62,"$25,478,424.19 ","$14,139,955.41 ","$4,123,735.82 ",Yes,63.3098678,63.33536557,35.14971092,35.14971092,13.93009476,16.77809033,0.025497765,0,2.847995573
"BlueChoice HealthPlan of South Carolina, Inc.",South Carolina,49532,544809,244524,18804858,3622507,-3934492,"$18,814,117.01 ","$3,622,506.76 ","($3,934,492.42)",No,34.51642319,34.53341815,6.649132081,6.649131641,-16.09041239,-16.09041411,0.016994965,-4.40521E-07,-1.71762E-06
"Group Hospitalization and Medical Services, Inc",Maryland,94084,306744,244332,14145988.49,14549412.82,16049564.6,"$14,153,350.50 ","$14,549,412.84 ","$16,049,564.60 ",Yes,46.11659394,46.14059444,47.4317764,47.43177647,65.68752599,65.68752599,0.024000502,6.5201E-08,0
"Kaiser Foundation Health Plan of Georgia, Inc.",Georgia,89942,263617,242609,8688372,2627520,-752374,"$8,692,894.13 ","$2,627,520.08 ","($2,393,268.87)",Yes,32.95831452,32.97546869,9.967187245,9.967187549,-3.101179264,-9.864715942,0.017154167,3.03471E-07,-6.763536678
"Health New England, Inc",Massachusetts,34484,54482,239883,1632422,-203971,-898073,"$1,633,271.41 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes,29.96259315,29.9781838,-3.743823648,#VALUE!,-3.743795934,#VALUE!,0.015590654,#VALUE!,#VALUE!
"Sierra Health and Life Insurance Company, Inc.",Nevada,83198,377613,239448,10114155.34,4132272.63,72611.26,"$10,119,419.06 ","$4,132,272.63 ","$72,611.26 ",No,26.78444688,26.79838634,10.94314187,10.94314187,0.303244379,0.303244379,0.013939457,0,0
UnitedHealthcare Insurance Company,Oklahoma,85757,4882,236945,0,65011.03,-209170.97,N/E,$-,"($144,362.05)",No,0,#VALUE!,13.31647481,#VALUE!,-0.882782798,-0.609263964,#VALUE!,#VALUE!,0.273518833
Premera Blue Cross,Alaska,38344,143355,229779,14647542,12358456,1742413,"$14,655,165.10 ","$12,358,455.76 ","$1,742,413.11 ",Yes,102.1767082,102.2298846,86.20875449,86.20875282,7.582994965,7.582995443,0.05317638,-1.67417E-06,4.78721E-07
"HMO Partners, Inc.",Arkansas,13262,,228567,,,665239,N/E,$-,"$681,450.22 ",Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,2.910477015,2.981402477,#VALUE!,#VALUE!,0.070925462
Wisconsin Physicians Services Insurance Corporation,Wisconsin,81974,313928,226782,18514938,5160943,183981,"$18,524,573.80 ","$5,160,942.97 ","$183,981.20 ",Yes,58.97829439,59.00898869,16.43989386,16.43989377,0.81126809,0.811268972,0.030694299,-9.55633E-08,8.81904E-07
"Oxford Health Insurance, Inc.",Connecticut,29462,7471,226055,0,0,5162193.87,N/E,$-,"$5,162,193.87 ",No,0,#VALUE!,0,#VALUE!,22.83600836,22.83600836,#VALUE!,#VALUE!,0
Aetna Life Insurance Company,Washington,34673,660,221783,0,0,-4146219.54,N/E,$-,"($4,146,219.54)",No,0,#VALUE!,0,#VALUE!,-18.69493848,-18.69493848,#VALUE!,#VALUE!,0
"UnitedHealthcare of Wisconsin, Inc.",Wisconsin,80180,502,221085,0,-17371.64,-518081.96,N/E,$-,"($535,453.60)",No,0,#VALUE!,-34.60486056,#VALUE!,-2.34336097,-2.421935455,#VALUE!,#VALUE!,-0.078574485
"Health Alliance Medical Plans, Inc.",Illinois,20129,275330,221076,9484951,-1326443,-1104554,"$9,489,886.93 ","($1,326,442.96)","($1,104,554.13)",No,34.44939164,34.46731896,-4.817647913,-4.817647768,-4.996263728,-4.996264316,0.017927324,1.4528E-07,-5.88033E-07
UnitedHealthcare Insurance Company,Washington,18699,2289,220908,0,-144758.07,-2766388.32,N/E,$-,"($2,911,146.39)",No,0,#VALUE!,-63.24074705,#VALUE!,-12.52280732,-13.178094,#VALUE!,#VALUE!,-0.65528668
"Group Hospitalization and Medical Services, Inc",Virginia,40308,195299,220770,8432217.75,11441513.49,9435152.4,"$8,431,776.30 ","$11,441,513.48 ","$9,435,152.40 ",Yes,43.1759392,43.17367882,58.58459844,58.58459839,42.7374752,42.7374752,-0.00226038,-5.12035E-08,0
"UnitedHealthcare of North Carolina, Inc.",North Carolina,54332,624707,220630,26499387.62,-15791307.03,-1662191.39,"$26,513,178.72 ","($15,787,937.71)","($1,665,560.71)",No,42.41890618,42.44098228,-25.27794155,-25.27254811,-7.533841227,-7.549112587,0.022076109,0.00539344,-0.015271359
UnitedHealthcare Insurance Company,Pennsylvania,23489,2683,219495,0,-65100.45,-5306331.47,N/E,$-,"($5,371,431.92)",No,0,#VALUE!,-24.26405143,#VALUE!,-24.17518153,-24.47177348,#VALUE!,#VALUE!,-0.29659195
UnitedHealthcare Insurance Company,Tennessee,69443,2010,219298,0,-50145.56,2013140.72,N/E,$-,"$1,962,995.16 ",No,0,#VALUE!,-24.9480398,#VALUE!,9.179931965,8.951267955,#VALUE!,#VALUE!,-0.22866401
"Humana Health Plan, Inc.",Colorado,74320,138751,215339,7610460.53,3955632.49,3161909.83,"$7,614,421.26 ","$6,064,407.53 ","$3,278,864.95 ",No,54.84977067,54.87831626,28.50885752,43.70712665,14.68340537,15.22652631,0.028545596,15.19826913,0.54312094
Hawaii Management Alliance Association,Hawaii,56682,,213566,,,624554,N/E,$-,"$662,917.71 ",Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,2.924407443,3.10404142,#VALUE!,#VALUE!,0.179633977
"AmeriHealth HMO, Inc.",New Jersey,77606,179483,213554,8822692,-4859745,-14888625,"$8,830,357.66 ","($4,859,744.69)","($14,888,625.20)",No,49.15614292,49.19885259,-27.07635264,-27.07635091,-69.71831481,-69.71831574,0.042709672,1.72718E-06,-9.36531E-07
Humana Insurance Company,Kansas,19968,52893,210867,639117.85,129998.03,453059.45,"$639,450.47 ","$129,998.03 ","$453,059.45 ",No,12.08322179,12.08951033,2.457754901,2.457754901,2.148555488,2.148555488,0.006288545,0,0
"Moda Health Plan, Inc.",Oregon,39424,1155876,210844,62735361,-10916304,-1070895,"$62,768,010.24 ","($10,916,304.04)","($1,070,895.13)",No,54.27516533,54.30341165,-9.444182594,-9.444182629,-5.079086908,-5.079087524,0.028246317,-3.46058E-08,-6.1657E-07
"Anthem Health Plans of Maine, Inc.",Maine,48396,260198,210436,6669157.74,-3917017.08,688516.26,"$6,658,488.70 ","($3,917,017.08)","$688,516.26 ",No,25.63108763,25.59008409,-15.05398612,-15.05398612,3.271855861,3.271855861,-0.041003543,0,0
"Oxford Health Plans (NJ), Inc",New Jersey,48834,137784,209708,12194137.14,18952235,-185240.53,"$12,200,483.35 ","$18,952,235.00 ","($185,240.53)",No,88.50183722,88.54789635,137.5503324,137.5503324,-0.883326006,-0.883326006,0.046059122,0,0
UnitedHealthcare Insurance Company,Louisiana,69842,7895,204666,0,-1511.71,-300152.45,N/E,$-,"($301,664.16)",No,0,#VALUE!,-0.191476884,#VALUE!,-1.466547692,-1.473933922,#VALUE!,#VALUE!,-0.007386229
UnitedHealthcare Insurance Company of the River Valley,Illinois,34446,2645,203050,0,0,-2373664.9,N/E,$-,"($2,373,664.90)",No,0,#VALUE!,0,#VALUE!,-11.69005122,-11.69005122,#VALUE!,#VALUE!,0
Health Alliance Plan of Michigan,Michigan,37651,94081,202285,3483965,3869249,-1604361,"$3,485,778.72 ","$3,869,249.10 ","($1,604,360.74)",Yes,37.03154728,37.05082557,41.12678437,41.12678543,-7.931191141,-7.931189856,0.019278281,1.06291E-06,1.28532E-06
"Health Plan of Nevada, Inc.",Nevada,95865,357716,201550,8218094.63,230274.9,-166538.16,"$8,222,371.58 ","$230,274.90 ","($166,538.16)",No,22.97379662,22.98575289,0.643736651,0.643736651,-0.826287075,-0.826287075,0.011956273,0,0
Health Insurance Plan of Greater New York,New York,88582,273179,197242,11919279.42,4799075.39,-36417583.95,"$11,925,482.58 ","$5,515,480.63 ","($36,417,583.95)",Yes,43.63175581,43.65446312,17.56751211,20.18998763,-184.6340229,-184.6340229,0.022707309,2.62247552,0
UnitedHealthcare Insurance Company,Arkansas,81392,1564,194778,0,13434.88,-4374.93,N/E,$-,"$9,059.95 ",No,0,#VALUE!,8.590076726,#VALUE!,-0.02246111,0.046514237,#VALUE!,#VALUE!,0.068975346
HealthPartners Insurance Company,Minnesota,85654,507606,194406,9283000,-29118000,-3346000,"$9,288,091.28 ","($29,118,111.14)","($3,345,685.38)",No,18.2878059,18.29783588,-57.36338814,-57.36360709,-17.21140294,-17.20978457,0.010029984,-0.000218949,0.001618366
Medica Insurance Company,Minnesota,31616,138388,192529,4412954,-5042829,9261068,"$4,415,250.76 ","($5,042,829.16)","$9,261,067.53 ",No,31.88827066,31.90486719,-36.43978524,-36.4397864,48.10219759,48.10219515,0.016596526,-1.15617E-06,-2.44119E-06
