Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsurance Per Member Month,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
Health Net Life Insurance Company,Arizona,51485,408507,346823,46191354.96,26294064.75,7584973.03,46215394.37,26294064.75,7584973.03,No,113.07,113.13,64.37,64.37,21.87,21.87,0.06,0.00,0.00
Humana Insurance Company,Tennessee,82120,296844,343106,8497394.58,618404.6,-2645066.63,8501816.89,618404.60,-2645066.63,No,28.63,28.64,2.08,2.08,-7.71,-7.71,0.01,0.00,0.00
UnitedHealthcare Insurance Company,Georgia,13535,270,341405,0,32960.57,4133416.45,N/E,$-,4168453.84,No,0.00,#VALUE!,122.08,#VALUE!,12.11,12.21,#VALUE!,#VALUE!,0.10
Providence Health Plan,Oregon,56707,332567,339014,9856173,-4161992,3092137,9861302.28,-4161991.69,3092137.34,Yes,29.64,29.65,-12.51,-12.51,9.12,9.12,0.02,0.00,0.00
"Humana Health Plan of Ohio, Inc.",Ohio,66083,113702,337779,5152813.04,-1928407.65,-2483141.65,5155494.73,-1928407.65,-2483141.65,No,45.32,45.34,-16.96,-16.96,-7.35,-7.35,0.02,0.00,0.00
UnitedHealthcare Insurance Company,Virginia,25978,2701,336520,0,32841.02,-7611750.64,N/E,$-,-7578909.62,No,0.00,#VALUE!,12.16,#VALUE!,-22.62,-22.52,#VALUE!,#VALUE!,0.10
"Coventry Health Care of Virginia, Inc.",Virginia,99663,507146,329571,14299851.95,1027646.58,-9528358.12,14307294.04,1027646.58,-9528358.12,No,28.20,28.21,2.03,2.03,-28.91,-28.91,0.01,0.00,0.00
Kaiser Foundation Health Plan of the Northwest,Oregon,71287,254073,327712,6778143,13259755,2707326,6778961.76,13259754.64,2707325.99,Yes,26.68,26.68,52.19,52.19,8.26,8.26,0.00,0.00,0.00
"Kaiser Foundation Health Plan, Inc.",Hawaii,60612,226746,325505,5417862,-15467101,-6719908,5420682.06,-15467100.50,-6719908.37,Yes,23.89,23.91,-68.21,-68.21,-20.64,-20.64,0.01,0.00,0.00
UnitedHealthcare Insurance Company,Nebraska,73102,1806,313101,0,-36788.3,4091383.22,N/E,$-,4054594.92,No,0.00,#VALUE!,-20.37,#VALUE!,13.07,12.95,#VALUE!,#VALUE!,-0.12
AultCare Insurance Company,Ohio,28162,94212,301024,2317323.34,-246739.17,-514739,2358684.92,-246739.17,-514739.16,No,24.60,25.04,-2.62,-2.62,-1.71,-1.71,0.44,0.00,0.00
Fallon Community Health Plan,Massachusetts,88806,83136,297977,2170876.96,-548538.32,-2168339.57,2396568.39,N/A_MA_Issuer,N/A_MA_Issuer,Yes,26.11,28.83,-6.60,#VALUE!,-7.28,#VALUE!,2.71,#VALUE!,#VALUE!
UnitedHealthcare Insurance Company,Utah,97462,777,296556,0,0,463611.69,N/E,$-,463611.69,No,0.00,#VALUE!,0.00,#VALUE!,1.56,1.56,#VALUE!,#VALUE!,0.00
Unity Health Plans Insurance Corporation,Wisconsin,37833,194647,294566,7178809,5592708,832440,7185046.24,5592708.14,832440.01,No,36.88,36.91,28.73,28.73,2.83,2.83,0.03,0.00,0.00
Humana Insurance Company,Texas,63141,960435,291529,22949252.24,16542107.09,-1192747.03,22961195.74,16542107.09,-1192747.03,No,23.89,23.91,17.22,17.22,-4.09,-4.09,0.01,0.00,0.00
Humana Insurance Company,Wisconsin,91604,56804,290896,1894133.6,596881.13,1292326.01,1895119.37,596881.13,1292326.01,No,33.35,33.36,10.51,10.51,4.44,4.44,0.02,0.00,0.00
Regence BlueCross BlueShield of Oregon,Oregon,77969,281509,290080,5231310,5012243,5582808,5234032.69,5024567.08,5570483.58,Yes,18.58,18.59,17.80,17.85,19.25,19.20,0.01,0.04,-0.04
PacificSource Health Plans,Oregon,10091,94382,289647,8478959.06,6385295.65,-263011.36,8483371.78,6385295.65,-263011.36,Yes,89.84,89.88,67.65,67.65,-0.91,-0.91,0.05,0.00,0.00
Highmark Inc.,Pennsylvania,33709,2659756,286085,106751487,-46784130,-7096865,106807043.50,-46784130.23,-7096865.07,Yes,40.14,40.16,-17.59,-17.59,-24.81,-24.81,0.02,0.00,0.00
University Health Alliance,Hawaii,95366,,282975,,,-778729,N/E,$-,-778728.87,Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-2.75,-2.75,#VALUE!,#VALUE!,0.00
"Geisinger Quality Options, Inc.",Pennsylvania,75729,96868,280427,1545945.08,1142253.34,-1613339.93,1529545.49,1142253.34,-1613339.93,No,15.96,15.79,11.79,11.79,-5.75,-5.75,-0.17,0.00,0.00
Aetna Health of Utah Inc.,Utah,38927,131934,275220,2270806.33,-3519378.65,-991146.89,2271988.13,-3519378.66,-991146.89,No,17.21,17.22,-26.68,-26.68,-3.60,-3.60,0.01,0.00,0.00
"Regence BlueShield of Idaho, Inc.",Idaho,44648,126390,272370,643504,1002954,-831184,643839.26,1002953.94,-831183.51,Yes,5.09,5.09,7.94,7.94,-3.05,-3.05,0.00,0.00,0.00
"Physicians Health Plan of Northern Indiana, Inc.",Indiana,50816,111408,267643,7076370,-7085739,2994922,7080052.99,-7085738.88,2912178.01,Yes,63.52,63.55,-63.60,-63.60,11.19,10.88,0.03,0.00,-0.31
Highmark BCBSD Inc.,Delaware,33199,380335,258931,20873452,2779949,2329735,,,,Yes,54.88,0.00,7.31,0.00,9.00,0.00,-54.88,-7.31,-9.00
"Harvard Pilgrim Health Care of New England, Inc.",New Hampshire,59025,99053,258618,2618360,-1229943,-843133,2619722.76,-1229943.19,-843133.48,Yes,26.43,26.45,-12.42,-12.42,-3.26,-3.26,0.01,0.00,0.00
"Dean Health Plan, Inc",Wisconsin,88245,49660,258093,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Health Net Health Plan of Oregon, Inc",Oregon,10940,19103,257570,1854766,3408187,45711,1855731.14,3408186.75,45710.69,No,97.09,97.14,178.41,178.41,0.18,0.18,0.05,0.00,0.00
"Wellmark Health Plan of Iowa, Inc.",Iowa,25896,121898,253629,1963170,-4391486,-1170300,1964191.81,-4391485.66,-1170299.82,No,16.11,16.11,-36.03,-36.03,-4.61,-4.61,0.01,0.00,0.00
UnitedHealthcare Insurance Company of the River Valley,Ohio,33232,608,252356,0,0,-1790106.79,N/E,$-,-1790106.79,No,0.00,#VALUE!,0.00,#VALUE!,-7.09,-7.09,#VALUE!,#VALUE!,0.00
Scott and White Health Plan,Texas,40788,254595,251093,7001993.36,-13412865.64,-4512866.63,6991418.55,-13412865.64,-4512866.63,Yes,27.50,27.46,-52.68,-52.68,-17.97,-17.97,-0.04,0.00,0.00
"Health Care Service Corporation, a Mutual Legal Reserve Company",New Mexico,75605,402278,245781,25468167,14139955.41,3423752.62,25478424.19,14139955.41,4123735.82,Yes,63.31,63.34,35.15,35.15,13.93,16.78,0.03,0.00,2.85
"BlueChoice HealthPlan of South Carolina, Inc.",South Carolina,49532,544809,244524,18804858,3622507,-3934492,18814117.01,3622506.76,-3934492.42,No,34.52,34.53,6.65,6.65,-16.09,-16.09,0.02,0.00,0.00
"Group Hospitalization and Medical Services, Inc",Maryland,94084,306744,244332,14145988.49,14549412.82,16049564.6,14153350.50,14549412.84,16049564.60,Yes,46.12,46.14,47.43,47.43,65.69,65.69,0.02,0.00,0.00
"Kaiser Foundation Health Plan of Georgia, Inc.",Georgia,89942,263617,242609,8688372,2627520,-752374,8692894.13,2627520.08,-2393268.87,Yes,32.96,32.98,9.97,9.97,-3.10,-9.86,0.02,0.00,-6.76
"Health New England, Inc",Massachusetts,34484,54482,239883,1632422,-203971,-898073,1633271.41,N/A_MA_Issuer,N/A_MA_Issuer,Yes,29.96,29.98,-3.74,#VALUE!,-3.74,#VALUE!,0.02,#VALUE!,#VALUE!
"Sierra Health and Life Insurance Company, Inc.",Nevada,83198,377613,239448,10114155.34,4132272.63,72611.26,10119419.06,4132272.63,72611.26,No,26.78,26.80,10.94,10.94,0.30,0.30,0.01,0.00,0.00
UnitedHealthcare Insurance Company,Oklahoma,85757,4882,236945,0,65011.03,-209170.97,N/E,$-,-144362.05,No,0.00,#VALUE!,13.32,#VALUE!,-0.88,-0.61,#VALUE!,#VALUE!,0.27
Premera Blue Cross,Alaska,38344,143355,229779,14647542,12358456,1742413,14655165.10,12358455.76,1742413.11,Yes,102.18,102.23,86.21,86.21,7.58,7.58,0.05,0.00,0.00
"HMO Partners, Inc.",Arkansas,13262,,228567,,,665239,N/E,$-,681450.22,Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,2.91,2.98,#VALUE!,#VALUE!,0.07
Wisconsin Physicians Services Insurance Corporation,Wisconsin,81974,313928,226782,18514938,5160943,183981,18524573.80,5160942.97,183981.20,Yes,58.98,59.01,16.44,16.44,0.81,0.81,0.03,0.00,0.00
"Oxford Health Insurance, Inc.",Connecticut,29462,7471,226055,0,0,5162193.87,N/E,$-,5162193.87,No,0.00,#VALUE!,0.00,#VALUE!,22.84,22.84,#VALUE!,#VALUE!,0.00
Aetna Life Insurance Company,Washington,34673,660,221783,0,0,-4146219.54,N/E,$-,-4146219.54,No,0.00,#VALUE!,0.00,#VALUE!,-18.69,-18.69,#VALUE!,#VALUE!,0.00
"UnitedHealthcare of Wisconsin, Inc.",Wisconsin,80180,502,221085,0,-17371.64,-518081.96,N/E,$-,-535453.60,No,0.00,#VALUE!,-34.60,#VALUE!,-2.34,-2.42,#VALUE!,#VALUE!,-0.08
"Health Alliance Medical Plans, Inc.",Illinois,20129,275330,221076,9484951,-1326443,-1104554,9489886.93,-1326442.96,-1104554.13,No,34.45,34.47,-4.82,-4.82,-5.00,-5.00,0.02,0.00,0.00
UnitedHealthcare Insurance Company,Washington,18699,2289,220908,0,-144758.07,-2766388.32,N/E,$-,-2911146.39,No,0.00,#VALUE!,-63.24,#VALUE!,-12.52,-13.18,#VALUE!,#VALUE!,-0.66
"Group Hospitalization and Medical Services, Inc",Virginia,40308,195299,220770,8432217.75,11441513.49,9435152.4,8431776.30,11441513.48,9435152.40,Yes,43.18,43.17,58.58,58.58,42.74,42.74,0.00,0.00,0.00
"UnitedHealthcare of North Carolina, Inc.",North Carolina,54332,624707,220630,26499387.62,-15791307.03,-1662191.39,26513178.72,-15787937.71,-1665560.71,No,42.42,42.44,-25.28,-25.27,-7.53,-7.55,0.02,0.01,-0.02
UnitedHealthcare Insurance Company,Pennsylvania,23489,2683,219495,0,-65100.45,-5306331.47,N/E,$-,-5371431.92,No,0.00,#VALUE!,-24.26,#VALUE!,-24.18,-24.47,#VALUE!,#VALUE!,-0.30
UnitedHealthcare Insurance Company,Tennessee,69443,2010,219298,0,-50145.56,2013140.72,N/E,$-,1962995.16,No,0.00,#VALUE!,-24.95,#VALUE!,9.18,8.95,#VALUE!,#VALUE!,-0.23
"Humana Health Plan, Inc.",Colorado,74320,138751,215339,7610460.53,3955632.49,3161909.83,7614421.26,6064407.53,3278864.95,No,54.85,54.88,28.51,43.71,14.68,15.23,0.03,15.20,0.54
Hawaii Management Alliance Association,Hawaii,56682,,213566,,,624554,N/E,$-,662917.71,Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,2.92,3.10,#VALUE!,#VALUE!,0.18
"AmeriHealth HMO, Inc.",New Jersey,77606,179483,213554,8822692,-4859745,-14888625,8830357.66,-4859744.69,-14888625.20,No,49.16,49.20,-27.08,-27.08,-69.72,-69.72,0.04,0.00,0.00
Humana Insurance Company,Kansas,19968,52893,210867,639117.85,129998.03,453059.45,639450.47,129998.03,453059.45,No,12.08,12.09,2.46,2.46,2.15,2.15,0.01,0.00,0.00
"Moda Health Plan, Inc.",Oregon,39424,1155876,210844,62735361,-10916304,-1070895,62768010.24,-10916304.04,-1070895.13,No,54.28,54.30,-9.44,-9.44,-5.08,-5.08,0.03,0.00,0.00
"Anthem Health Plans of Maine, Inc.",Maine,48396,260198,210436,6669157.74,-3917017.08,688516.26,6658488.70,-3917017.08,688516.26,No,25.63,25.59,-15.05,-15.05,3.27,3.27,-0.04,0.00,0.00
"Oxford Health Plans (NJ), Inc",New Jersey,48834,137784,209708,12194137.14,18952235,-185240.53,12200483.35,18952235.00,-185240.53,No,88.50,88.55,137.55,137.55,-0.88,-0.88,0.05,0.00,0.00
UnitedHealthcare Insurance Company,Louisiana,69842,7895,204666,0,-1511.71,-300152.45,N/E,$-,-301664.16,No,0.00,#VALUE!,-0.19,#VALUE!,-1.47,-1.47,#VALUE!,#VALUE!,-0.01
UnitedHealthcare Insurance Company of the River Valley,Illinois,34446,2645,203050,0,0,-2373664.9,N/E,$-,-2373664.90,No,0.00,#VALUE!,0.00,#VALUE!,-11.69,-11.69,#VALUE!,#VALUE!,0.00
Health Alliance Plan of Michigan,Michigan,37651,94081,202285,3483965,3869249,-1604361,3485778.72,3869249.10,-1604360.74,Yes,37.03,37.05,41.13,41.13,-7.93,-7.93,0.02,0.00,0.00
"Health Plan of Nevada, Inc.",Nevada,95865,357716,201550,8218094.63,230274.9,-166538.16,8222371.58,230274.90,-166538.16,No,22.97,22.99,0.64,0.64,-0.83,-0.83,0.01,0.00,0.00
Health Insurance Plan of Greater New York,New York,88582,273179,197242,11919279.42,4799075.39,-36417583.95,11925482.58,5515480.63,-36417583.95,Yes,43.63,43.65,17.57,20.19,-184.63,-184.63,0.02,2.62,0.00
UnitedHealthcare Insurance Company,Arkansas,81392,1564,194778,0,13434.88,-4374.93,N/E,$-,9059.95,No,0.00,#VALUE!,8.59,#VALUE!,-0.02,0.05,#VALUE!,#VALUE!,0.07
HealthPartners Insurance Company,Minnesota,85654,507606,194406,9283000,-29118000,-3346000,9288091.28,-29118111.14,-3345685.38,No,18.29,18.30,-57.36,-57.36,-17.21,-17.21,0.01,0.00,0.00
Medica Insurance Company,Minnesota,31616,138388,192529,4412954,-5042829,9261068,4415250.76,-5042829.16,9261067.53,No,31.89,31.90,-36.44,-36.44,48.10,48.10,0.02,0.00,0.00
"Evergreen Health Cooperative, Inc.",Maryland,72564,47868,192165,725536,-3443885,-20769949,725913.47,-3443885.20,-20766948.84,Yes,15.16,15.16,-71.95,-71.95,-108.08,-108.07,0.01,0.00,0.02
UnitedHealthcare Insurance Company of the River Valley,Georgia,30552,873,190825,0,0,-1813597.15,N/E,$-,-1784203.76,No,0.00,#VALUE!,0.00,#VALUE!,-9.50,-9.35,#VALUE!,#VALUE!,0.15
Geisinger Health Plan,Pennsylvania,22444,247339,189426,9309343.58,11417706.62,-2139258.77,9210149.64,11417706.62,-2139258.77,Yes,37.64,37.24,46.16,46.16,-11.29,-11.29,-0.40,0.00,0.00
Physicians Plus Insurance Corporation,Wisconsin,58564,31587,188864,166070,175984,-629678,166156.71,175983.58,-629677.53,No,5.26,5.26,5.57,5.57,-3.33,-3.33,0.00,0.00,0.00
Aetna Life Insurance Company,Illinois,72547,36698,185509,814182.42,-670691.43,-1111838.72,814606.14,-670691.43,-1111838.73,No,22.19,22.20,-18.28,-18.28,-5.99,-5.99,0.01,0.00,0.00
"Harvard Pilgrim Health Care, Inc.",Maine,96667,10766,183217,727789,1177106,-1027527,728167.41,1177105.98,-1027526.86,Yes,67.60,67.64,109.34,109.34,-5.61,-5.61,0.04,0.00,0.00
Humana Insurance Company,Missouri,30613,85368,182866,4907965.39,-188325.95,-3938829.87,4910519.65,-188325.95,-3938829.87,No,57.49,57.52,-2.21,-2.21,-21.54,-21.54,0.03,0.00,0.00
Blue Cross Blue Shield of Wyoming,Wyoming,11269,211926,180632,12710342,1438733,-735311,12716956.74,1438732.96,-735310.56,Yes,59.98,60.01,6.79,6.79,-4.07,-4.07,0.03,0.00,0.00
PreferredOne Insurance Company,Minnesota,88102,78619,178184,4220736,5753591,-3077770,4222933.09,5753591.46,-3077770.23,No,53.69,53.71,73.18,73.18,-17.27,-17.27,0.03,0.00,0.00
Sharp Health Plan,California,92499,230438,176700,9641668.97,9791489.44,-5238158,9640079.06,9791489.44,-5238158.44,Yes,41.84,41.83,42.49,42.49,-29.64,-29.64,-0.01,0.00,0.00
"QCA Health Plan, Inc.",Arkansas,70525,324884,172403,10575851.65,6979104,-272061,10580046.00,6656762.38,-272007.50,No,32.55,32.57,21.48,20.49,-1.58,-1.58,0.01,-0.99,0.00
Aetna Health Inc. (a Pennsylvania corporation),Ohio,84867,173,170265,0,0,-2831979.84,N/E,$-,-2831979.85,No,0.00,#VALUE!,0.00,#VALUE!,-16.63,-16.63,#VALUE!,#VALUE!,0.00
Alliance Health and Life Insurance Company,Michigan,67577,118357,166084,2908060,4207213,-282556,2909573.77,4463306.20,-282556.40,Yes,24.57,24.58,35.55,37.71,-1.70,-1.70,0.01,2.16,0.00
Aetna Life Insurance Company,Maine,53357,342,164744,0,0,1790597.54,N/E,$-,1790597.54,No,0.00,#VALUE!,0.00,#VALUE!,10.87,10.87,#VALUE!,#VALUE!,0.00
Humana Wisconsin Health Organization Insurance Corporation,Wisconsin,55103,,163547,,,707127.26,0.00,$-,707127.26,No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,4.32,4.32,#DIV/0!,#VALUE!,0.00
Group Health Cooperative,Washington,80473,445529,162864,15405876.11,-9944277,-3747729.11,15413893.81,-9944277.00,-3747729.11,Yes,34.58,34.60,-22.32,-22.32,-23.01,-23.01,0.02,0.00,0.00
UnitedHealthcare Insurance Company,Maryland,23620,2914,162340,0,-25025.2,1860066.27,N/E,$-,1835041.07,No,0.00,#VALUE!,-8.59,#VALUE!,11.46,11.30,#VALUE!,#VALUE!,-0.15
"Rocky Mountain Health Maintenance Organization, Inc.",Colorado,97879,310694,157000,32876127,12118953.75,-2204692.42,32893237.64,18515843.40,-2204692.42,Yes,105.82,105.87,39.01,59.60,-14.04,-14.04,0.06,20.59,0.00
UnitedHealthcare Insurance Company,Kansas,94968,401,156743,0,-27735.57,-1498044.05,N/E,$-,-1525779.62,No,0.00,#VALUE!,-69.17,#VALUE!,-9.56,-9.73,#VALUE!,#VALUE!,-0.18
Aetna Life Insurance Company,Virginia,38234,183008,156276,5891951.18,4680612.74,-3364075.44,5895017.54,4680612.75,-3364075.44,No,32.20,32.21,25.58,25.58,-21.53,-21.53,0.02,0.00,0.00
Federated Mutual Insurance Company,Michigan,82649,0,154861,0,0,-4753200.26,N/E,$-,-4753200.26,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-30.69,-30.69,#VALUE!,#VALUE!,0.00
"CommunityCare HMO, Inc.",Oklahoma,98905,27269,154716,918969,1778574,-1588682,919447.27,1755937.92,-1588829.22,No,33.70,33.72,65.22,64.39,-10.27,-10.27,0.02,-0.83,0.00
Capital Health Plan,Florida,66966,,154324,,,3951692,N/E,$-,3951692.24,Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,25.61,25.61,#VALUE!,#VALUE!,0.00
"HPHC Insurance Company, Inc.",Maine,11593,3228,154215,405268,208585,2498772,405479.23,208585.27,2498771.66,No,125.55,125.61,64.62,64.62,16.20,16.20,0.07,0.00,0.00
Humana Insurance Company,Indiana,99791,105258,150375,9594235.07,8411678.81,-627510.77,9599228.21,8411678.81,-627510.77,No,91.15,91.20,79.91,79.91,-4.17,-4.17,0.05,0.00,0.00
"UnitedHealthcare Plan of the River Valley, Inc.",Iowa,56610,608,149935,0,0,855194.75,N/E,$-,855194.75,No,0.00,#VALUE!,0.00,#VALUE!,5.70,5.70,#VALUE!,#VALUE!,0.00
UnitedHealthcare Insurance Company,Oregon,90175,507,146375,0,3784.23,-536801.94,N/E,$-,-533017.71,No,0.00,#VALUE!,7.46,#VALUE!,-3.67,-3.64,#VALUE!,#VALUE!,0.03
"Priority Health Insurance Company, Inc",Michigan,29241,255090,144552,4301459,35724.19,112962.45,4303697.77,37908.56,124208.68,Yes,16.86,16.87,0.14,0.15,0.78,0.86,0.01,0.01,0.08
"Rocky Mountain Hospital and Medical Service, Inc., dba Anthem Blue Cross and Blue Shield",Nevada,33670,150570,144350,2720481.66,-4821040.08,3892116.41,2721897.49,-4821040.08,3892116.41,No,18.07,18.08,-32.02,-32.02,26.96,26.96,0.01,0.00,0.00
"Humana Health Plan, Inc.",Arizona,23307,16365,143566,676011,261705,-1948641.42,676362.49,856409.75,-1948641.42,No,41.31,41.33,15.99,52.33,-13.57,-13.57,0.02,36.34,0.00
"South Dakota State Medical Holding Company, Inc.",South Dakota,62210,154506,141466,9162251,-2809177,-1242844,9167019.56,-2809177.34,-1242844.35,No,59.30,59.33,-18.18,-18.18,-8.79,-8.79,0.03,0.00,0.00
Aetna Life Insurance Company,New Jersey,89217,8849,135251,3125047.07,5290240.82,2477419.02,3126673.44,5290240.82,2477419.03,No,353.15,353.34,597.83,597.83,18.32,18.32,0.18,0.00,0.00
"Coventry Health Care of Nebraska, Inc.",Nebraska,15438,547175,131042,19987007.51,-13630630.99,-516160.25,19997409.37,-13630630.99,-516160.25,No,36.53,36.55,-24.91,-24.91,-3.94,-3.94,0.02,0.00,0.00
Network Health Plan,Wisconsin,81413,14440,129581,24512.86,294393.41,-54664,24525.62,294393.41,-54663.83,No,1.70,1.70,20.39,20.39,-0.42,-0.42,0.00,0.00,0.00
"Innovation Health Plan, Inc.",Virginia,86443,375,128993,0,0,-5954916.7,N/E,$-,-5954916.70,No,0.00,#VALUE!,0.00,#VALUE!,-46.16,-46.16,#VALUE!,#VALUE!,0.00
"Coventry Health Care of Fl., Inc.",Florida,57451,2827355,128894,56890286.23,-110567546,973155.25,56919893.68,-110567546.03,973155.25,No,20.12,20.13,-39.11,-39.11,7.55,7.55,0.01,0.00,0.00
"ADVANTAGE Health Solutions, Inc",Indiana,20855,,128479,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
"HMO Missouri, Inc.",Missouri,92766,646,127867,0,0,-153568.66,N/E,$-,-153568.66,No,0.00,#VALUE!,0.00,#VALUE!,-1.20,-1.20,#VALUE!,#VALUE!,0.00
"Security Health Plan of Wisconsin, Inc.",Wisconsin,38166,368674,125902,31470678,-10390482,-900332,31487056.36,-10390482.30,-900331.90,Yes,85.36,85.41,-28.18,-28.18,-7.15,-7.15,0.04,0.00,0.00
"Presbyterian Insurance Company, Inc.",New Mexico,52744,0,125357,0,0,-818491,N/E,$-,-818490.89,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-6.53,-6.53,#VALUE!,#VALUE!,0.00
Federated Mutual Insurance Company,Indiana,11104,0,124892,0,0,-489371.87,N/E,$-,-542240.33,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-3.92,-4.34,#VALUE!,#VALUE!,-0.42
UnitedHealthcare Insurance Company,Iowa,88678,521,121353,0,-30955.79,-577442.13,N/E,$-,-608397.92,No,0.00,#VALUE!,-59.42,#VALUE!,-4.76,-5.01,#VALUE!,#VALUE!,-0.26
Innovation Health Insurance Company,Virginia,12028,458023,120595,9715649.28,-9421914.58,2094829.83,9720705.61,-9421914.58,2094829.83,No,21.21,21.22,-20.57,-20.57,17.37,17.37,0.01,0.00,0.00
Group Health Cooperative of South Central Wisconsin,Wisconsin,94529,23018,120594,486164.46,1059019.73,1443408.15,486417.48,1059019.73,1443408.15,Yes,21.12,21.13,46.01,46.01,11.97,11.97,0.01,0.00,0.00
Paramount Insurance Company,Ohio,74313,33167,119621,1271902.17,-580499.95,-264272.01,1272564.12,-580499.95,-264272.01,No,38.35,38.37,-17.50,-17.50,-2.21,-2.21,0.02,0.00,0.00
MAMSI Life and Health Insurance Company,Maryland,65635,1665,118325,0,70333.66,-352750.46,N/E,$-,-282416.80,No,0.00,#VALUE!,42.24,#VALUE!,-2.98,-2.39,#VALUE!,#VALUE!,0.59
"SelectHealth, Inc.",Idaho,26002,278361,116813,19449141.79,9855840.04,-1382800.26,19459263.73,9855840.04,-1382800.26,Yes,69.87,69.91,35.41,35.41,-11.84,-11.84,0.04,0.00,0.00
"North Shore-LIJ CareConnect Insurance Company, Inc.",New York,82483,189964,114883,8733138,2282312,-13302064,8737682.64,2282312.43,-13302063.81,No,45.97,46.00,12.01,12.01,-115.79,-115.79,0.02,0.00,0.00
BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,Kansas,94248,309590,114221,10232138.1,12904886.1,827921.82,10237463.22,12904886.10,827921.82,Yes,33.05,33.07,41.68,41.68,7.25,7.25,0.02,0.00,0.00
"HPHC Insurance Company, Inc.",Massachusetts,95878,120352,114120,2287652,-13277105.8,-6479337.81,2288842.82,N/A_MA_Issuer,N/A_MA_Issuer,No,19.01,19.02,-110.32,#VALUE!,-56.78,#VALUE!,0.01,#VALUE!,#VALUE!
LifeWise Health Plan of Oregon,Oregon,85804,491563,112496,17006994,-19940059,-1675211,17015844.50,-19940058.64,-1675210.84,No,34.60,34.62,-40.56,-40.56,-14.89,-14.89,0.02,0.00,0.00
Aetna Life Insurance Company,Florida,23841,34529,112153,731083.64,-2790586.53,1289962.56,731464.13,-2790586.53,1289962.56,No,21.17,21.18,-80.82,-80.82,11.50,11.50,0.01,0.00,0.00
Rocky Mountain HealthCare Options Inc.,Colorado,80208,,111248,,,4192512.75,N/E,$-,4347588.59,Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,37.69,39.08,#VALUE!,#VALUE!,1.39
Aetna Life Insurance Company,Nevada,27990,69307,110659,1532190.08,-7118682.15,672487.49,1532987.48,-7118682.16,672487.49,No,22.11,22.12,-102.71,-102.71,6.08,6.08,0.01,0.00,0.00
US Health and Life Insurance Company,Michigan,58996,,110256,,,,N/E,$-,4588.65,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,0.00,0.04,#VALUE!,#VALUE!,0.04
Federated Mutual Insurance Company,Missouri,64701,0,109462,0,0,-2366698.58,N/E,$-,-2366698.58,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-21.62,-21.62,#VALUE!,#VALUE!,0.00
PacificSource Health Plans,Montana,23603,122296,109024,7010027.68,-805324.98,-1744039.87,7013675.92,-805324.98,-1744039.87,Yes,57.32,57.35,-6.59,-6.59,-16.00,-16.00,0.03,0.00,0.00
New Mexico Health Connections,New Mexico,93091,237567,107378,5518706,-11035028,-3534468,5515873.35,-11035028.09,-3534467.65,Yes,23.23,23.22,-46.45,-46.45,-32.92,-32.92,-0.01,0.00,0.00
